"Rk","Name","YoB","Votes","%vote","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","OPS+","W","L","ERA","ERA+","WHIP","G","GS","SV","IP","H","HR","BB","SO","Pos Summary"
"1","Adrian Beltré","1st","366","95.1%","163","55","21","93.5","48.7","71.1","56.2","2933","11068","1524","3166","477","1707","121","848",".286",".339",".480",".819","116","","","","","","","","","","","","","","*5D/H64"
"2","Todd Helton","6th","307","79.7%","175","59","17","61.8","46.6","54.2","53.4","2247","7962","1401","2519","369","1406","37","1335",".316",".414",".539",".953","133","","","","","","","","","","","","","","*3H/7D9"
"3","Joe Mauer","1st","293","76.1%","92","41","15","55.2","39.0","47.1","44.3","1858","6930","1018","2123","143","923","52","939",".306",".388",".439",".827","124","","","","","","","","","","","","","","*2*3*DH/9"
"4","Billy Wagner","9th","284","73.8%","107","24","16","27.7","19.8","23.7","32.5","810","20","1","2","0","1","0","1",".100",".143",".100",".243","-35","47","40","2.31","187","0.998","853","0","422","903.0","601","82","300","1196","*1"
"5","X-Gary Sheffield","10th","246","63.9%","158","61","22","60.5","38.0","49.3","56.1","2576","9217","1636","2689","509","1676","253","1475",".292",".393",".514",".907","140","","","","","","","","","","","","","","*9*7*5*D6H/3"
"6","Andruw Jones","7th","237","61.6%","109","34","17","62.7","46.4","54.6","58.1","2196","7599","1204","1933","434","1289","152","891",".254",".337",".486",".823","111","","","","","","","","","","","","","","*89H7D/3"
"7","Carlos Beltrán","2nd","220","57.1%","126","52","20","70.1","44.4","57.3","58.1","2586","9768","1582","2725","435","1587","312","1084",".279",".350",".486",".837","119","","","","","","","","","","","","","","*8*9*DH/73"
"8","Alex Rodriguez","3rd","134","34.8%","390","77","22","117.6","64.3","90.9","55.4","2784","10566","2021","3115","696","2086","329","1338",".295",".380",".550",".930","140","","","","","","","","","","","","","","*6*5DH/3"
"9","Manny Ramirez","8th","125","32.5%","226","69","19","69.3","39.9","54.6","53.4","2302","8244","1544","2574","555","1831","38","1329",".312",".411",".585",".996","154","","","","","","","","","","","","","","*7*9*DH"
"10","Chase Utley","1st","111","28.8%","94","36","16","64.5","49.3","56.9","57.0","1937","6857","1103","1885","259","1025","154","724",".275",".358",".465",".823","117","","","","","","","","","","","","","","*4H3/D5"
"11","Omar Vizquel","7th","68","17.7%","120","42","24","45.6","26.8","36.2","55.4","2968","10586","1445","2877","80","951","404","1028",".272",".336",".352",".688","82","","","","","","","","","","","","","","*65H4/D379"
"12","Bobby Abreu","5th","57","14.8%","95","54","18","60.2","41.6","50.9","56.1","2425","8480","1453","2470","288","1363","400","1476",".291",".395",".475",".870","128","","","","","","","","","","","","","","*9DH7/8"
"13","Jimmy Rollins","3rd","57","14.8%","121","42","17","47.6","32.6","40.1","55.4","2275","9294","1421","2455","231","936","470","813",".264",".324",".418",".743","95","","","","","","","","","","","","","","*6H/D4"
"14","Andy Pettitte","6th","52","13.5%","128","44","18","60.2","34.1","47.2","61.5","108","196","6","27","1","13","0","6",".138",".163",".184",".346","-10","256","153","3.85","117","1.351","531","521","0","3316.0","3448","288","1031","2448","*1/H"
"15","Mark Buehrle","4th","32","8.3%","52","31","16","59.1","35.8","47.4","61.5","55","125","4","9","1","3","0","2",".072",".087",".112",".199","-47","214","160","3.81","117","1.281","518","493","0","3283.1","3472","361","734","1870","*1"
"16","Francisco Rodríguez","2nd","30","7.8%","124","16","16","24.2","17.6","20.9","32.5","437","2","0","1","0","0","0","0",".500",".500",".500","1.000","178","52","53","2.86","148","1.155","948","0","437","976.0","738","98","389","1142","*1"
"17","Torii Hunter","4th","28","7.3%","58","34","19","50.7","30.8","40.7","58.1","2372","8857","1296","2452","353","1391","195","661",".277",".331",".461",".793","110","","","","","","","","","","","","","","*8*9DH/7"
"18","David Wright","1st","24","6.2%","74","36","14","49.2","39.5","44.3","56.2","1585","5998","949","1777","242","970","196","762",".296",".376",".491",".867","133","","","","","","","","","","","","","","*5/HD6"
"19","X-Víctor Martínez","1st","6","1.6%","63","37","16","32.0","29.0","30.5","44.3","1973","7297","914","2153","246","1178","7","730",".295",".360",".455",".815","118","","","","","","","","","","","","","","*D*23H"
"20","X-José Bautista","1st","6","1.6%","78","26","15","36.7","38.2","37.5","56.1","1798","6051","1022","1496","344","975","70","1032",".247",".361",".475",".836","124","","","","","","","","","","","","","","*9*5DH873/4"
"21","X-Bartolo Colón","1st","5","1.3%","88","37","21","46.2","35.5","40.8","61.5","148","299","11","25","1","11","0","1",".084",".092",".107",".199","-46","247","188","4.12","106","1.312","565","552","0","3461.2","3593","439","948","2535","*1"
"22","X-Matt Holliday","1st","4","1.0%","110","41","15","44.5","34.3","39.4","53.4","1903","7009","1157","2096","316","1220","108","802",".299",".379",".510",".889","132","","","","","","","","","","","","","","*7DH/3"
"23","X-Adrián González","1st","3","0.8%","90","31","15","43.5","34.6","39.1","53.4","1929","7139","997","2050","317","1202","6","782",".287",".358",".485",".843","129","","","","","","","","","","","","","","*3HD/9"
"24","X-Brandon Phillips","1st","1","0.3%","68","28","17","28.4","24.8","26.6","57.0","1902","7378","1005","2029","211","951","209","420",".275",".320",".420",".740","95","","","","","","","","","","","","","","*4H/5D6"
"25","X-José Reyes","1st","0","0.0%","76","36","16","37.5","29.3","33.4","55.4","1877","7552","1180","2138","145","719","517","589",".283",".334",".427",".761","103","0","0","54.00","10","7.000","1","0","0","1.0","5","2","2","0","*654H/871"
"26","X-James Shields","1st","0","0.0%","28","18","13","30.7","28.2","29.4","61.5","70","142","15","24","0","6","0","3",".169",".186",".190",".376","5","145","139","4.01","102","1.272","407","405","0","2616.0","2581","361","746","2234","*1/H"
